"name","city","income","credit_score","loan_amount","years_employed","points","loan_approved","credit_category","employment_level","loan_to_income","debt_burden_category","high_loan"
"Christopher Kline","West Anthonyton",82565,466,38503,13,40,FALSE,"Poor","Mid (11-25 yrs)",0.46633561436444,"High (≥40%)",FALSE
"Maria Byrd","Denisehaven",148284,320,45708,0,35,FALSE,"Poor","Entry (0-10 yrs)",0.308246338107955,"Moderate (20-40%)",TRUE
"Carlos Thompson","East Johnnyport",37685,581,28774,24,40,FALSE,"Fair","Mid (11-25 yrs)",0.763539869974791,"High (≥40%)",FALSE
"Judy Robinson","Ericafurt",51579,404,1481,32,50,FALSE,"Poor","Senior (26+ yrs)",0.028713236006902,"Low (<20%)",FALSE
"Dr. Sara Hoffman DDS","Kennethville",79672,793,5183,21,90,TRUE,"Excellent","Mid (11-25 yrs)",0.0650542223114771,"Low (<20%)",FALSE
"Margaret Hensley MD","Jacobhaven",30282,546,4720,38,35,FALSE,"Poor","Senior (26+ yrs)",0.155868172511723,"Low (<20%)",FALSE
"Francisco Taylor","Lake Tylerport",81173,565,28431,25,45,FALSE,"Poor","Mid (11-25 yrs)",0.350251931060821,"Moderate (20-40%)",FALSE
"Andrew Erickson","West Jessica",64760,527,45978,34,35,FALSE,"Poor","Senior (26+ yrs)",0.709975293390982,"High (≥40%)",TRUE
"Karen Shepard","Williamburgh",132769,485,20253,6,50,FALSE,"Poor","Entry (0-10 yrs)",0.15254313883512,"Low (<20%)",FALSE
"Patrick Hardy","Lake Rachel",132908,391,15565,22,55,FALSE,"Poor","Mid (11-25 yrs)",0.117111084359106,"Low (<20%)",FALSE
"Seth Fisher","Nathanshire",89638,601,31393,7,55,FALSE,"Fair","Entry (0-10 yrs)",0.350219772864187,"Moderate (20-40%)",FALSE
"Sean Silva","South Pamelahaven",67388,422,45610,24,35,FALSE,"Poor","Mid (11-25 yrs)",0.676826734730219,"High (≥40%)",TRUE
"Jennifer Pitts","East Victoria",85444,650,27816,36,60,TRUE,"Fair","Senior (26+ yrs)",0.325546556809138,"Moderate (20-40%)",FALSE
"Victoria Thomas","Port Christopher",121303,640,42355,11,65,TRUE,"Fair","Mid (11-25 yrs)",0.349166962070188,"Moderate (20-40%)",TRUE
"Anthony Hayes","Port Kim",125748,462,33084,5,45,FALSE,"Poor","Entry (0-10 yrs)",0.263097623819067,"Moderate (20-40%)",FALSE
"Jeffrey Jordan","Sanfordfurt",132676,304,3472,34,60,TRUE,"Poor","Senior (26+ yrs)",0.0261690132352498,"Low (<20%)",FALSE
"Jake Smith","Katherinehaven",102845,495,2174,0,45,FALSE,"Poor","Entry (0-10 yrs)",0.0211386066410618,"Low (<20%)",FALSE
"Danielle Steele","Larryville",116752,692,33986,37,75,TRUE,"Good","Senior (26+ yrs)",0.291095655748938,"Moderate (20-40%)",FALSE
"Austin Williams","Stephenhaven",124163,836,23140,27,95,TRUE,"Excellent","Senior (26+ yrs)",0.186367919589572,"Low (<20%)",FALSE
"Whitney Cooper","Howardborough",93788,468,27436,1,30,FALSE,"Poor","Entry (0-10 yrs)",0.292532093658037,"Moderate (20-40%)",FALSE
"Nicholas Anderson","New Williamville",50289,675,47603,2,50,FALSE,"Good","Entry (0-10 yrs)",0.9465887172145,"High (≥40%)",TRUE
"Martin Wise","New Virginiaville",54890,320,4161,7,45,FALSE,"Poor","Entry (0-10 yrs)",0.0758061577700856,"Low (<20%)",FALSE
"James Kelley","Milesborough",68890,309,20733,26,40,FALSE,"Poor","Senior (26+ yrs)",0.300958049063725,"Moderate (20-40%)",FALSE
"Mary Nelson","South Maria",58534,407,34527,39,35,FALSE,"Poor","Senior (26+ yrs)",0.589862302251683,"High (≥40%)",FALSE
"Brian Rodriguez","New James",37665,569,35284,12,25,FALSE,"Poor","Mid (11-25 yrs)",0.936784813487322,"High (≥40%)",FALSE
"Jason Martin","Lozanofort",105914,638,16368,0,55,FALSE,"Fair","Entry (0-10 yrs)",0.154540476235436,"Low (<20%)",FALSE
"Brandon Rodriguez","Hernandezland",126434,823,5918,6,95,TRUE,"Excellent","Entry (0-10 yrs)",0.0468070297546546,"Low (<20%)",FALSE
"Maria Bryant","Josephton",101066,402,12449,2,45,FALSE,"Poor","Entry (0-10 yrs)",0.123176933884788,"Low (<20%)",FALSE
"Heather Rhodes","Rodgersville",37989,346,1633,8,35,FALSE,"Poor","Entry (0-10 yrs)",0.042986127563242,"Low (<20%)",FALSE
"Carolyn Howard","Friedmanview",128038,395,25420,21,55,FALSE,"Poor","Mid (11-25 yrs)",0.198534809978288,"Low (<20%)",FALSE
"James Rivers","Maryfort",71104,731,43522,10,60,TRUE,"Good","Entry (0-10 yrs)",0.612089333933393,"High (≥40%)",TRUE
"Michael Brown","North Robert",37492,794,38286,28,60,TRUE,"Excellent","Senior (26+ yrs)",1.02117785127494,"High (≥40%)",FALSE
"James Howard","Port Gabrielleberg",36572,794,32989,7,55,FALSE,"Excellent","Entry (0-10 yrs)",0.902028874548835,"High (≥40%)",FALSE
"Jessica Brown","Alexanderhaven",106569,529,44898,21,45,FALSE,"Poor","Mid (11-25 yrs)",0.421304506939166,"High (≥40%)",TRUE
"Melissa Montgomery","Stanleybury",92493,793,23659,24,80,TRUE,"Excellent","Mid (11-25 yrs)",0.255792330230396,"Moderate (20-40%)",FALSE
"Ronald Mcclain","North Dawnburgh",95909,817,31755,31,85,TRUE,"Excellent","Senior (26+ yrs)",0.331095100564076,"Moderate (20-40%)",FALSE
"Angela Vasquez","West Tara",141767,351,34222,14,55,FALSE,"Poor","Mid (11-25 yrs)",0.241396093590187,"Moderate (20-40%)",FALSE
"Jamie Montoya","South Seanshire",99615,758,6768,31,90,TRUE,"Excellent","Senior (26+ yrs)",0.0679415750639964,"Low (<20%)",FALSE
"Bryan Jimenez","North Richardton",50635,300,6956,38,45,FALSE,"Poor","Senior (26+ yrs)",0.137375333267503,"Low (<20%)",FALSE
"Marcia Wu","Lake Emily",37455,649,24812,3,30,FALSE,"Fair","Entry (0-10 yrs)",0.662448271258844,"High (≥40%)",FALSE
"Sarah Rivera","Moranstad",96562,763,8472,6,85,TRUE,"Excellent","Entry (0-10 yrs)",0.0877363766284874,"Low (<20%)",FALSE
"Courtney Peterson","Amystad",40500,408,4000,10,40,FALSE,"Poor","Entry (0-10 yrs)",0.0987654320987654,"Low (<20%)",FALSE
"Rodney Newton MD","Cherylborough",141587,423,26748,13,55,FALSE,"Poor","Mid (11-25 yrs)",0.188915649035575,"Low (<20%)",FALSE
"Richard Love","Port Robertshire",54356,426,30524,29,35,FALSE,"Poor","Senior (26+ yrs)",0.561557141805872,"High (≥40%)",FALSE
"Tina Taylor","Smithton",38981,743,39346,30,60,TRUE,"Excellent","Senior (26+ yrs)",1.00936353608168,"High (≥40%)",FALSE
"Priscilla Kent","Lake Lisa",107992,406,26389,38,55,FALSE,"Poor","Senior (26+ yrs)",0.244360693384695,"Moderate (20-40%)",FALSE
"Erica Keith","Pettybury",38907,580,27074,21,40,FALSE,"Fair","Mid (11-25 yrs)",0.695864497391215,"High (≥40%)",FALSE
"Jodi Anderson","Morrisonhaven",118501,606,46973,35,65,TRUE,"Fair","Senior (26+ yrs)",0.396393279381609,"Moderate (20-40%)",TRUE
"Michelle Walls","East Jason",142960,597,45997,22,65,TRUE,"Fair","Mid (11-25 yrs)",0.321747341913822,"Moderate (20-40%)",TRUE
"Brandi Page","New Amy",60828,630,47553,7,45,FALSE,"Fair","Entry (0-10 yrs)",0.781761688695995,"High (≥40%)",TRUE
"Kristina Aguilar","Craigside",82923,592,28681,0,45,FALSE,"Fair","Entry (0-10 yrs)",0.34587508893793,"Moderate (20-40%)",FALSE
"Allison Thomas","East Josephburgh",45713,593,45786,16,40,FALSE,"Fair","Mid (11-25 yrs)",1.00159691991337,"High (≥40%)",TRUE
"Antonio Mueller","Port Amber",146691,667,30661,6,65,TRUE,"Fair","Entry (0-10 yrs)",0.209017594808134,"Moderate (20-40%)",FALSE
"Megan Hoffman","Lake Deborah",104668,698,16571,32,80,TRUE,"Good","Senior (26+ yrs)",0.158319639240264,"Low (<20%)",FALSE
"Rebecca Roberts","South Paulmouth",62271,355,1849,16,50,FALSE,"Poor","Mid (11-25 yrs)",0.0296927943986768,"Low (<20%)",FALSE
"Sean Dalton","Greerstad",105880,501,48507,12,45,FALSE,"Poor","Mid (11-25 yrs)",0.458131847374386,"High (≥40%)",TRUE
"Christopher Fleming","East Jill",107924,422,25720,2,45,FALSE,"Poor","Entry (0-10 yrs)",0.238315851895779,"Moderate (20-40%)",FALSE
"Justin Anderson","Adammouth",35209,458,3617,9,30,FALSE,"Poor","Entry (0-10 yrs)",0.102729415774376,"Low (<20%)",FALSE
"Linda Ayala","Tracyshire",111183,666,5776,20,75,TRUE,"Fair","Mid (11-25 yrs)",0.0519503880989,"Low (<20%)",FALSE
"Tina Meyer","South Amy",40745,713,7025,22,60,TRUE,"Good","Mid (11-25 yrs)",0.172413793103448,"Low (<20%)",FALSE
"Daniel Rivera","Kellyhaven",84948,786,37787,0,60,TRUE,"Excellent","Entry (0-10 yrs)",0.444825069454254,"High (≥40%)",FALSE
"Gregory Allen","North Felicia",116163,628,25993,7,65,TRUE,"Fair","Entry (0-10 yrs)",0.223763160386698,"Moderate (20-40%)",FALSE
"Joshua Campbell","Williehaven",106503,756,32903,2,75,TRUE,"Excellent","Entry (0-10 yrs)",0.308939654282039,"Moderate (20-40%)",FALSE
"Matthew Flores","North Garyside",104085,846,1480,40,100,TRUE,"Excellent","Senior (26+ yrs)",0.0142191478118845,"Low (<20%)",FALSE
"Michael Ayala","Houstonborough",98522,850,47054,27,80,TRUE,"Excellent","Senior (26+ yrs)",0.47759891191815,"High (≥40%)",TRUE
"Teresa Burgess","North Stephen",71467,639,3482,5,60,TRUE,"Fair","Entry (0-10 yrs)",0.0487217876782291,"Low (<20%)",FALSE
"Christopher King","New Lorraineview",64179,717,26430,28,60,TRUE,"Good","Senior (26+ yrs)",0.411816949469453,"High (≥40%)",FALSE
"Jessica Smith","New Adamland",56772,346,46933,4,25,FALSE,"Poor","Entry (0-10 yrs)",0.826692735855703,"High (≥40%)",TRUE
"Jonathan Roberts","Catherineport",117782,748,25996,25,90,TRUE,"Excellent","Mid (11-25 yrs)",0.220712842369802,"Moderate (20-40%)",FALSE
"Amanda Moore","East Julie",123872,602,42552,9,60,TRUE,"Fair","Entry (0-10 yrs)",0.343515887367605,"Moderate (20-40%)",TRUE
"Stephen Sanford","Susantown",71180,444,9076,2,35,FALSE,"Poor","Entry (0-10 yrs)",0.127507726889576,"Low (<20%)",FALSE
"Kyle Medina","West Jasonstad",61285,516,28043,32,35,FALSE,"Poor","Senior (26+ yrs)",0.457583421718202,"High (≥40%)",FALSE
"Clinton Jensen","Jamesburgh",64814,355,36969,29,35,FALSE,"Poor","Senior (26+ yrs)",0.570386027710063,"High (≥40%)",FALSE
"Angel Powers","Coreyshire",81876,798,22682,22,80,TRUE,"Excellent","Mid (11-25 yrs)",0.277028677512336,"Moderate (20-40%)",FALSE
"Matthew Garcia","East Louismouth",47154,636,41392,19,40,FALSE,"Fair","Mid (11-25 yrs)",0.877804640115367,"High (≥40%)",TRUE
"Brittany Knight","Susanburgh",118039,304,21526,15,55,FALSE,"Poor","Mid (11-25 yrs)",0.18236345614585,"Low (<20%)",FALSE
"Michelle Davidson","Maryberg",114607,639,32454,29,65,TRUE,"Fair","Senior (26+ yrs)",0.283176420288464,"Moderate (20-40%)",FALSE
"Raymond Tucker","East Debbieland",69321,587,10175,34,60,TRUE,"Fair","Senior (26+ yrs)",0.146780917759409,"Low (<20%)",FALSE
"Nicholas Sims","North Melissatown",89929,714,39668,13,65,TRUE,"Good","Mid (11-25 yrs)",0.44110353723493,"High (≥40%)",FALSE
"Kristen Stephens","Valdezberg",71441,674,26722,14,65,TRUE,"Good","Mid (11-25 yrs)",0.374042916532523,"Moderate (20-40%)",FALSE
"Leah Vincent","South Walter",128548,392,27003,23,55,FALSE,"Poor","Mid (11-25 yrs)",0.210061611226935,"Moderate (20-40%)",FALSE
"Mary Charles","Port Willie",39508,756,11434,11,65,TRUE,"Excellent","Mid (11-25 yrs)",0.289409739799534,"Moderate (20-40%)",FALSE
"Krystal Brennan","Lake Jessica",31220,667,3648,14,50,FALSE,"Fair","Mid (11-25 yrs)",0.116848174247277,"Low (<20%)",FALSE
"Crystal Baker","North Elizabeth",90068,830,24674,24,85,TRUE,"Excellent","Mid (11-25 yrs)",0.273948572189901,"Moderate (20-40%)",FALSE
"Jesse Williams","Dakotahaven",111416,580,49621,16,60,TRUE,"Fair","Mid (11-25 yrs)",0.445366913190206,"High (≥40%)",TRUE
"Laura Bennett","Diazland",103792,829,17487,24,95,TRUE,"Excellent","Mid (11-25 yrs)",0.168481193155542,"Low (<20%)",FALSE
"Courtney Sullivan","Tommyfort",43104,306,33888,8,20,FALSE,"Poor","Entry (0-10 yrs)",0.78619153674833,"High (≥40%)",FALSE
"David Robertson","Jasonburgh",39602,461,24738,38,25,FALSE,"Poor","Senior (26+ yrs)",0.624665420938336,"High (≥40%)",FALSE
"Bailey Hall","Jenniferfort",100468,790,32393,13,85,TRUE,"Excellent","Mid (11-25 yrs)",0.32242106939523,"Moderate (20-40%)",FALSE
"Maria Jenkins","North David",57938,464,9829,40,45,FALSE,"Poor","Senior (26+ yrs)",0.169646863888985,"Low (<20%)",FALSE
"Stephanie Thomas","West Sandra",96307,829,27571,38,85,TRUE,"Excellent","Senior (26+ yrs)",0.286282409378342,"Moderate (20-40%)",FALSE
"Marcia Johns","Staceyborough",64760,759,40749,30,70,TRUE,"Excellent","Senior (26+ yrs)",0.629231006794317,"High (≥40%)",TRUE
"Carolyn Greer","Port Brandi",47361,486,41842,32,25,FALSE,"Poor","Senior (26+ yrs)",0.88346952133612,"High (≥40%)",TRUE
"Nathaniel Cooper","Carlsonland",75745,535,25786,24,45,FALSE,"Poor","Mid (11-25 yrs)",0.340431711664136,"Moderate (20-40%)",FALSE
"Alan Mills","Serranoville",145456,481,32186,39,55,FALSE,"Poor","Senior (26+ yrs)",0.221276537234628,"Moderate (20-40%)",FALSE
"Sherry Schmidt","North Timothyberg",39016,301,45470,27,25,FALSE,"Poor","Senior (26+ yrs)",1.16541931515276,"High (≥40%)",TRUE
"Jacqueline Williams","Perezfort",145247,690,23971,37,80,TRUE,"Good","Senior (26+ yrs)",0.165036110900741,"Low (<20%)",FALSE
"Susan Hood","South Dennisfort",62018,538,6493,18,45,FALSE,"Poor","Mid (11-25 yrs)",0.104695411009707,"Low (<20%)",FALSE
"Kimberly Scott","Lake Juliatown",78434,835,8722,33,90,TRUE,"Excellent","Senior (26+ yrs)",0.111201774740546,"Low (<20%)",FALSE
"Matthew Watts","Robertville",67353,458,28923,37,35,FALSE,"Poor","Senior (26+ yrs)",0.429424079105608,"High (≥40%)",FALSE
"Scott Henderson","Cherylfurt",50676,508,28081,35,35,FALSE,"Poor","Senior (26+ yrs)",0.554128186912937,"High (≥40%)",FALSE
"Karen Wood","Kingport",87433,652,47235,25,55,FALSE,"Fair","Mid (11-25 yrs)",0.540242242631501,"High (≥40%)",TRUE
"Sarah Hopkins","South Krista",139280,465,7571,13,60,TRUE,"Poor","Mid (11-25 yrs)",0.0543581275129236,"Low (<20%)",FALSE
"Rachel Owen","East Paultown",101200,393,10524,30,55,FALSE,"Poor","Senior (26+ yrs)",0.10399209486166,"Low (<20%)",FALSE
"Bobby Johnson","Ariasfurt",122214,833,19774,38,95,TRUE,"Excellent","Senior (26+ yrs)",0.161798157330584,"Low (<20%)",FALSE
"Raymond Thompson","Gonzalesborough",69651,830,19743,12,80,TRUE,"Excellent","Mid (11-25 yrs)",0.283456088211225,"Moderate (20-40%)",FALSE
"Kyle Black","New Gavin",110173,336,24575,15,55,FALSE,"Poor","Mid (11-25 yrs)",0.223058281067049,"Moderate (20-40%)",FALSE
"Vanessa Miller","Kimberlystad",135788,704,27571,37,80,TRUE,"Good","Senior (26+ yrs)",0.203044451645212,"Moderate (20-40%)",FALSE
"Adrian Padilla","New Justinside",115717,656,23772,17,70,TRUE,"Fair","Mid (11-25 yrs)",0.205432218256609,"Moderate (20-40%)",FALSE
"Victor Gibson","Andrewsview",99329,479,27681,32,45,FALSE,"Poor","Senior (26+ yrs)",0.278679942413595,"Moderate (20-40%)",FALSE
"Benjamin Phillips","Port Williamview",31025,850,38676,16,65,TRUE,"Excellent","Mid (11-25 yrs)",1.24660757453666,"High (≥40%)",FALSE
"Tracy Hart","Port Matthew",117538,769,45668,29,85,TRUE,"Excellent","Senior (26+ yrs)",0.388538174888121,"Moderate (20-40%)",TRUE
"Shannon Olson","Carlosbury",137099,535,21691,26,55,FALSE,"Poor","Senior (26+ yrs)",0.158214137229301,"Low (<20%)",FALSE
"Kelli Smith","Johnland",102692,708,45151,21,70,TRUE,"Good","Mid (11-25 yrs)",0.439673976551241,"High (≥40%)",TRUE
"Timothy Woods","Jefferyshire",69240,575,12978,12,45,FALSE,"Poor","Mid (11-25 yrs)",0.187435008665511,"Low (<20%)",FALSE
"Mr. Nicolas Salas II","Port John",116951,664,11223,6,70,TRUE,"Fair","Entry (0-10 yrs)",0.0959632666672367,"Low (<20%)",FALSE
"Blake Sosa","Austinside",43577,343,32607,23,25,FALSE,"Poor","Mid (11-25 yrs)",0.748261697684558,"High (≥40%)",FALSE
"Katherine Galloway","Travishaven",145097,586,27075,14,70,TRUE,"Fair","Mid (11-25 yrs)",0.186599309427486,"Low (<20%)",FALSE
"Bethany Fox","Mendozaside",47601,333,33930,22,25,FALSE,"Poor","Mid (11-25 yrs)",0.712800151257327,"High (≥40%)",FALSE
"Michael Thompson","Lake Aprilmouth",64664,308,1774,13,50,FALSE,"Poor","Mid (11-25 yrs)",0.0274341209946802,"Low (<20%)",FALSE
"Brian Ward","Jacobview",45129,542,18655,30,25,FALSE,"Poor","Senior (26+ yrs)",0.413370559950365,"High (≥40%)",FALSE
"Grace White","Clarkstad",146616,673,27253,17,80,TRUE,"Good","Mid (11-25 yrs)",0.185880122224041,"Low (<20%)",FALSE
"Kenneth Krause","Port Cory",44029,576,16453,35,30,FALSE,"Poor","Senior (26+ yrs)",0.373685525449136,"Moderate (20-40%)",FALSE
"James Thomas","South Linda",127310,480,28624,31,55,FALSE,"Poor","Senior (26+ yrs)",0.224837012017909,"Moderate (20-40%)",FALSE
"Steven Mccoy","Kristenport",102512,556,37840,36,50,FALSE,"Poor","Senior (26+ yrs)",0.369127516778524,"Moderate (20-40%)",FALSE
"Brett Martin","Port Jonathan",50374,398,30481,21,35,FALSE,"Poor","Mid (11-25 yrs)",0.605093897645611,"High (≥40%)",FALSE
"Isaac Grant","Mauricechester",65697,424,24009,38,40,FALSE,"Poor","Senior (26+ yrs)",0.365450477190739,"Moderate (20-40%)",FALSE
"Kenneth Banks","Port Justin",66930,632,45118,32,50,FALSE,"Fair","Senior (26+ yrs)",0.674107276258778,"High (≥40%)",TRUE
"Dr. Steve James","Stevenberg",109276,471,42981,21,50,FALSE,"Poor","Mid (11-25 yrs)",0.393325158314726,"Moderate (20-40%)",TRUE
"Logan Sullivan","North Fernandobury",57607,621,21766,18,55,FALSE,"Fair","Mid (11-25 yrs)",0.377836026871734,"Moderate (20-40%)",FALSE
"Lisa Foster","Normanstad",124058,833,30510,26,95,TRUE,"Excellent","Senior (26+ yrs)",0.245933353753889,"Moderate (20-40%)",FALSE
"Scott Martinez","Lake Johnathan",74942,381,14800,10,45,FALSE,"Poor","Entry (0-10 yrs)",0.197486055883216,"Low (<20%)",FALSE
"Brendan Zuniga","Kelleytown",56685,706,35339,5,55,FALSE,"Good","Entry (0-10 yrs)",0.623427714562936,"High (≥40%)",FALSE
"Luke Miller","Parkerbury",120111,590,30042,40,65,TRUE,"Fair","Senior (26+ yrs)",0.250118640257762,"Moderate (20-40%)",FALSE
"Joseph Jackson","Lake Michaelmouth",113130,787,31617,34,85,TRUE,"Excellent","Senior (26+ yrs)",0.279474940334129,"Moderate (20-40%)",FALSE
"Kimberly Taylor","New Carla",141792,745,35305,40,90,TRUE,"Excellent","Senior (26+ yrs)",0.248991480478447,"Moderate (20-40%)",FALSE
"Emily Reed","Port Christopher",64600,615,24971,26,55,FALSE,"Fair","Senior (26+ yrs)",0.386547987616099,"Moderate (20-40%)",FALSE
"Eric Smith","West Justin",96244,847,1545,31,95,TRUE,"Excellent","Senior (26+ yrs)",0.0160529487552471,"Low (<20%)",FALSE
"Karen Smith","Yatesbury",94032,307,36927,23,45,FALSE,"Poor","Mid (11-25 yrs)",0.3927067381317,"Moderate (20-40%)",FALSE
"Stephen Kim","East Jennifer",62914,699,25796,14,60,TRUE,"Good","Mid (11-25 yrs)",0.410020027338907,"High (≥40%)",FALSE
"Jay Allen","Justinside",148664,575,28060,12,55,FALSE,"Poor","Mid (11-25 yrs)",0.188747780229242,"Low (<20%)",FALSE
"Catherine Roberts","Williamsonview",149034,803,13306,20,100,TRUE,"Excellent","Mid (11-25 yrs)",0.0892816404310426,"Low (<20%)",FALSE
"Anthony Nichols","North Julian",140900,428,47871,28,50,FALSE,"Poor","Senior (26+ yrs)",0.339751596877218,"Moderate (20-40%)",TRUE
"Crystal Hernandez","Robinsonchester",36658,619,33662,23,40,FALSE,"Fair","Mid (11-25 yrs)",0.918271591467074,"High (≥40%)",FALSE
"Rick Rivera","North Joseph",42097,701,5678,34,60,TRUE,"Good","Senior (26+ yrs)",0.134878969997862,"Low (<20%)",FALSE
"Corey Skinner","Claytonville",113136,554,26218,28,55,FALSE,"Poor","Senior (26+ yrs)",0.231738792250035,"Moderate (20-40%)",FALSE
"Zachary Gonzalez","New Elizabethborough",85518,784,26501,19,80,TRUE,"Excellent","Mid (11-25 yrs)",0.309887976800206,"Moderate (20-40%)",FALSE
"Caitlin Chandler","West Timothyport",138704,503,24620,3,45,FALSE,"Poor","Entry (0-10 yrs)",0.177500288383897,"Low (<20%)",FALSE
"Claudia Rodriguez","Nguyenburgh",66265,582,39318,7,45,FALSE,"Fair","Entry (0-10 yrs)",0.593344903040821,"High (≥40%)",FALSE
"David Novak","Barkerberg",35778,680,6864,15,60,TRUE,"Good","Mid (11-25 yrs)",0.191849740063726,"Low (<20%)",FALSE
"Brandon Montgomery","North Michaelberg",30464,849,8038,8,65,TRUE,"Excellent","Entry (0-10 yrs)",0.263852415966387,"Moderate (20-40%)",FALSE
"Eugene Grant DDS","Lindamouth",73719,497,2399,24,50,FALSE,"Poor","Mid (11-25 yrs)",0.0325424924374992,"Low (<20%)",FALSE
"Chad Roach","Mannside",131072,601,36568,31,65,TRUE,"Fair","Senior (26+ yrs)",0.27899169921875,"Moderate (20-40%)",FALSE
"Cody Bailey","Hillside",47146,464,5513,33,35,FALSE,"Poor","Senior (26+ yrs)",0.116934628600518,"Low (<20%)",FALSE
"Edward Baker","Shawnhaven",113507,688,49080,11,70,TRUE,"Good","Mid (11-25 yrs)",0.432396239879479,"High (≥40%)",TRUE
"Lisa Diaz","West Jennifer",64335,696,13443,33,70,TRUE,"Good","Senior (26+ yrs)",0.208953135929121,"Moderate (20-40%)",FALSE
"Pamela Moore","Marcusmouth",51178,413,7308,33,45,FALSE,"Poor","Senior (26+ yrs)",0.142795732541326,"Low (<20%)",FALSE
"Amanda Pace","Port Anthony",127154,409,32809,12,50,FALSE,"Poor","Mid (11-25 yrs)",0.258025701118329,"Moderate (20-40%)",FALSE
"Kenneth Huff","Foxshire",87912,562,4216,23,55,FALSE,"Poor","Mid (11-25 yrs)",0.047957047957048,"Low (<20%)",FALSE
"Mitchell Smith","Lake Travis",102309,381,31674,40,50,FALSE,"Poor","Senior (26+ yrs)",0.309591531536815,"Moderate (20-40%)",FALSE
"Justin Hurley","Shortton",122493,572,35669,2,40,FALSE,"Poor","Entry (0-10 yrs)",0.291192149755496,"Moderate (20-40%)",FALSE
"Sandra Miller","New Colton",86057,536,35842,24,40,FALSE,"Poor","Mid (11-25 yrs)",0.41649139523804,"High (≥40%)",FALSE
"Joseph Wright","New Kara",103519,725,49896,6,65,TRUE,"Good","Entry (0-10 yrs)",0.48199847371014,"High (≥40%)",TRUE
"Laura Craig","Andradeburgh",31267,484,37042,25,25,FALSE,"Poor","Mid (11-25 yrs)",1.18469952345924,"High (≥40%)",FALSE
"Mary Ferguson","Mahoneymouth",44663,632,25361,26,40,FALSE,"Fair","Senior (26+ yrs)",0.567830195016009,"High (≥40%)",FALSE
"Jessica Swanson","New Amy",39862,684,37060,16,50,FALSE,"Good","Mid (11-25 yrs)",0.92970749084341,"High (≥40%)",FALSE
"Jesse Moyer","Lake Austinport",145750,316,34922,8,50,FALSE,"Poor","Entry (0-10 yrs)",0.239602058319039,"Moderate (20-40%)",FALSE
"Elizabeth Evans MD","Andrewview",120573,823,37459,36,90,TRUE,"Excellent","Senior (26+ yrs)",0.310674860872666,"Moderate (20-40%)",FALSE
"Brittney Johnson","Ericview",148479,675,39152,15,75,TRUE,"Good","Mid (11-25 yrs)",0.263687120737613,"Moderate (20-40%)",FALSE
"Robert Davis","Carrollborough",49536,379,48420,20,25,FALSE,"Poor","Mid (11-25 yrs)",0.977470930232558,"High (≥40%)",TRUE
"Carrie Petersen","New Dawnton",101511,690,6143,3,75,TRUE,"Good","Entry (0-10 yrs)",0.0605156091458069,"Low (<20%)",FALSE
"Felicia Hobbs","Butlerville",34722,532,49999,38,25,FALSE,"Poor","Senior (26+ yrs)",1.43998041587466,"High (≥40%)",TRUE
"Madison Chen","West Alicemouth",139392,453,22419,32,55,FALSE,"Poor","Senior (26+ yrs)",0.160834194214876,"Low (<20%)",FALSE
"Brittany Nunez","Maddoxshire",78393,816,6903,14,95,TRUE,"Excellent","Mid (11-25 yrs)",0.0880563315602158,"Low (<20%)",FALSE
"Richard Hernandez","Christophershire",106350,350,36923,25,50,FALSE,"Poor","Mid (11-25 yrs)",0.347183826986366,"Moderate (20-40%)",FALSE
"James Hamilton","Port Dennis",102420,502,32972,25,50,FALSE,"Poor","Mid (11-25 yrs)",0.321929310681508,"Moderate (20-40%)",FALSE
"Christina Gilbert","East Charles",49410,740,22195,36,60,TRUE,"Excellent","Senior (26+ yrs)",0.449200566686906,"High (≥40%)",FALSE
"Michael Henderson","Jamesstad",86333,324,20976,10,50,FALSE,"Poor","Entry (0-10 yrs)",0.242966189058645,"Moderate (20-40%)",FALSE
"Lisa Branch MD","South Brady",46704,539,14086,23,30,FALSE,"Poor","Mid (11-25 yrs)",0.301601575882151,"Moderate (20-40%)",FALSE
"Nicholas Miller","East Stacyberg",35482,594,1900,21,55,FALSE,"Fair","Mid (11-25 yrs)",0.0535482780001127,"Low (<20%)",FALSE
"Ashley Cole","West Jasonside",70404,516,14356,34,45,FALSE,"Poor","Senior (26+ yrs)",0.203908868814272,"Moderate (20-40%)",FALSE
"Deanna Webb","Lake Holly",77795,318,25681,37,45,FALSE,"Poor","Senior (26+ yrs)",0.330111189665146,"Moderate (20-40%)",FALSE
"Kelsey Scott","West Jamesview",147831,354,31471,0,40,FALSE,"Poor","Entry (0-10 yrs)",0.212884983528489,"Moderate (20-40%)",FALSE
"Matthew Alvarado","Michelletown",134349,599,43559,24,65,TRUE,"Fair","Mid (11-25 yrs)",0.324222733328867,"Moderate (20-40%)",TRUE
"James Bray","West Toddside",142814,390,13217,12,60,TRUE,"Poor","Mid (11-25 yrs)",0.092546949178652,"Low (<20%)",FALSE
"Judith House","North Johnhaven",35229,612,22860,31,40,FALSE,"Fair","Senior (26+ yrs)",0.648897215362344,"High (≥40%)",FALSE
"Christopher Reed","Michaelport",147823,541,33850,17,55,FALSE,"Poor","Mid (11-25 yrs)",0.228990075969233,"Moderate (20-40%)",FALSE
